date_time,th
2022-01-08T07:00:00Z,2.836
2022-01-08T08:00:00Z,2.553
2022-01-08T09:00:00Z,2.374
2022-01-08T10:00:00Z,3.049
2022-01-08T11:00:00Z,3.7
2022-01-08T12:00:00Z,4.241
2022-01-08T13:00:00Z,4.727
2022-01-08T14:00:00Z,4.675
2022-01-08T15:00:00Z,4.779
2022-01-08T16:00:00Z,4.398
2022-01-08T17:00:00Z,4.259
2022-01-08T18:00:00Z,4.831
2022-01-08T19:00:00Z,5.415
2022-01-08T20:00:00Z,6.403
2022-01-08T21:00:00Z,6.775
2022-01-08T22:00:00Z,6.826
2022-01-08T23:00:00Z,7.196
2022-01-09T00:00:00Z,6.877
2022-01-09T01:00:00Z,6.961
2022-01-09T02:00:00Z,7.129
2022-01-09T03:00:00Z,6.64
2022-01-09T04:00:00Z,5.498
2022-01-09T05:00:00Z,4.276
2022-01-09T06:00:00Z,3.998
2022-01-09T07:00:00Z,4.033
2022-01-09T08:00:00Z,3.329
2022-01-09T09:00:00Z,2.836
2022-01-09T10:00:00Z,3.507
2022-01-09T11:00:00Z,4.171
2022-01-09T12:00:00Z,4.986
2022-01-09T13:00:00Z,5.655
2022-01-09T14:00:00Z,5.774
2022-01-09T15:00:00Z,5.483
2022-01-09T16:00:00Z,4.709
2022-01-09T17:00:00Z,3.612
2022-01-09T18:00:00Z,3.137
2022-01-09T19:00:00Z,2.748
2022-01-09T20:00:00Z,2.57
2022-01-09T21:00:00Z,1.093
2022-01-09T22:00:00Z,0.802
2022-01-09T23:00:00Z,0.966
